,년,월,시점,지역,소유,경형,대형,소계,소형,중형
0,2023,01,2023.01,금정구,계,350,575,8175,2072,5178
1,2023,01,2023.01,금정구,관용,5,2,79,4,68
2,2023,01,2023.01,금정구,자가용,345,573,8096,2068,5110
3,2023,01,2023.01,기장군,계,311,627,5886,1473,3475
4,2023,01,2023.01,기장군,관용,2,0,68,8,58
5,2023,01,2023.01,기장군,자가용,309,627,5818,1465,3417
6,2023,01,2023.01,남구,계,451,941,10764,2408,6964
7,2023,01,2023.01,남구,관용,3,0,31,10,18
8,2023,01,2023.01,남구,자가용,448,941,10733,2398,6946
9,2023,01,2023.01,동구,계,185,321,4478,963,3009
10,2023,01,2023.01,동구,관용,2,1,57,22,32
11,2023,01,2023.01,동구,자가용,183,320,4421,941,2977
12,2023,01,2023.01,동래구,계,404,855,8976,2133,5584
13,2023,01,2023.01,동래구,관용,1,1,74,1,71
14,2023,01,2023.01,동래구,자가용,403,854,8902,2132,5513
15,2023,01,2023.01,부산진구,계,633,1397,16046,3922,10094
16,2023,01,2023.01,부산진구,관용,10,1,118,21,86
17,2023,01,2023.01,부산진구,자가용,623,1396,15928,3901,10008
18,2023,01,2023.01,북구,계,414,720,8741,2075,5532
19,2023,01,2023.01,북구,관용,1,0,50,4,45
20,2023,01,2023.01,북구,자가용,413,720,8691,2071,5487
21,2023,01,2023.01,사상구,계,576,603,9444,2276,5989
22,2023,01,2023.01,사상구,관용,26,1,161,38,96
23,2023,01,2023.01,사상구,자가용,550,602,9283,2238,5893
24,2023,01,2023.01,사하구,계,528,969,12553,2888,8168
25,2023,01,2023.01,사하구,관용,6,0,80,2,72
26,2023,01,2023.01,사하구,자가용,522,969,12473,2886,8096
27,2023,01,2023.01,서구,계,207,342,6068,1486,4033
28,2023,01,2023.01,서구,관용,1,0,9,6,2
29,2023,01,2023.01,서구,자가용,206,342,6059,1480,4031
30,2023,01,2023.01,수영구,계,307,675,6751,1472,4297
31,2023,01,2023.01,수영구,관용,0,1,85,4,80
32,2023,01,2023.01,수영구,자가용,307,674,6666,1468,4217
33,2023,01,2023.01,연제구,계,279,681,7002,1591,4451
34,2023,01,2023.01,연제구,관용,5,36,134,4,89
35,2023,01,2023.01,연제구,자가용,274,645,6868,1587,4362
36,2023,01,2023.01,영도구,계,221,344,6421,1482,4374
37,2023,01,2023.01,영도구,관용,5,0,50,2,43
38,2023,01,2023.01,영도구,자가용,216,344,6371,1480,4331
39,2023,01,2023.01,해운대구,계,544,1333,12791,2926,7988
40,2023,01,2023.01,해운대구,관용,7,1,96,2,86
41,2023,01,2023.01,해운대구,자가용,537,1332,12695,2924,7902
42,2023,01,2023.01,부산기타,계,0,0,12,10,2
43,2023,01,2023.01,부산기타,관용,0,0,0,0,0
44,2023,01,2023.01,부산기타,자가용,0,0,12,10,2
