"시도명(1)","시점","시군구(1)",경형,경형,경형,소형,소형,소형,중형,중형,중형,대형,대형,대형
"시도명(1)","시점","시군구(1)",계,관용,자가용,계,관용,자가용,계,관용,자가용,계,관용,자가용
"부산","2023.01","금정구",350,5,345,2072,4,2068,5178,68,5110,575,2,573
"부산","2023.01","기장군",311,2,309,1473,8,1465,3475,58,3417,627,0,627
"부산","2023.01","남구",451,3,448,2408,10,2398,6964,18,6946,941,0,941
"부산","2023.01","동구",185,2,183,963,22,941,3009,32,2977,321,1,320
"부산","2023.01","동래구",404,1,403,2133,1,2132,5584,71,5513,855,1,854
"부산","2023.01","부산진구",633,10,623,3922,21,3901,10094,86,10008,1397,1,1396
"부산","2023.01","북구",414,1,413,2075,4,2071,5532,45,5487,720,0,720
"부산","2023.01","사상구",576,26,550,2276,38,2238,5989,96,5893,603,1,602
"부산","2023.01","사하구",528,6,522,2888,2,2886,8168,72,8096,969,0,969
"부산","2023.01","서구",207,1,206,1486,6,1480,4033,2,4031,342,0,342
"부산","2023.01","수영구",307,0,307,1472,4,1468,4297,80,4217,675,1,674
"부산","2023.01","연제구",279,5,274,1591,4,1587,4451,89,4362,681,36,645
"부산","2023.01","영도구",221,5,216,1482,2,1480,4374,43,4331,344,0,344
"부산","2023.01","해운대구",544,7,537,2926,2,2924,7988,86,7902,1333,1,1332
"부산","2023.01","부산기타",0,0,0,10,0,10,2,0,2,0,0,0
