"시도명(1)","시군구(1)","시점",계
"시도명(1)","시군구(1)","시점",소계
"서울","계","2015.01",454956
"서울","계","2015.02",454345
"서울","계","2015.03",454277
"서울","계","2015.04",454604
"서울","계","2015.05",454960
"서울","계","2015.06",454760
"서울","계","2015.07",455408
"서울","계","2015.08",456160
"서울","계","2015.09",456730
"서울","계","2015.10",455835
"서울","계","2015.11",454959
"서울","계","2015.12",453409
"서울","계","2016.01",452718
"서울","계","2016.02",452082
"서울","계","2016.03",452470
"서울","계","2016.04",453908
"서울","계","2016.05",453908
"서울","계","2016.06",454437
"서울","계","2016.07",454684
"서울","계","2016.08",455083
"서울","계","2016.09",455449
"서울","계","2016.10",455138
"서울","계","2016.11",454003
"서울","계","2016.12",452439
"서울","계","2017.01",451613
"서울","계","2017.02",450770
"서울","계","2017.03",450857
"서울","계","2017.04",451125
"서울","계","2017.05",452029
"서울","계","2017.06",452818
"서울","계","2017.07",453281
"서울","계","2017.08",453636
"서울","계","2017.09",453873
"서울","계","2017.10",453251
"서울","계","2017.11",452132
"서울","계","2017.12",450642
"서울","계","2018.01",449210
"서울","계","2018.02",448197
"서울","계","2018.03",447772
"서울","계","2018.04",447965
"서울","계","2018.05",448388
"서울","계","2018.06",448615
"서울","계","2018.07",449032
"서울","계","2018.08",449032
"서울","계","2018.09",449988
"서울","계","2018.10",449805
"서울","계","2018.11",448952
"서울","계","2018.12",447559
"서울","계","2019.01",446550
"서울","계","2019.02",446103
"서울","계","2019.03",446300
"서울","계","2019.04",447006
"서울","계","2019.05",447857
"서울","계","2019.06",448471
"서울","계","2019.07",449419
"서울","계","2019.08",449887
"서울","계","2019.09",451560
"서울","계","2019.10",451800
"서울","계","2019.11",451080
"서울","계","2019.12",449549
"서울","계","2020.01",448923
"서울","계","2020.02",448578
"서울","계","2020.03",449660
"서울","계","2020.04",450752
"서울","계","2020.05",452142
"서울","계","2020.06",453416
"서울","계","2020.07",454606
"서울","계","2020.08",455459
"서울","계","2020.09",458187
"서울","계","2020.10",458871
"서울","계","2020.11",458605
"서울","계","2020.12",459002
"서울","계","2021.01",453825
"서울","계","2021.02",453738
"서울","계","2021.03",454320
"서울","계","2021.04",455622
"서울","계","2021.05",456631
"서울","계","2021.06",456631
"서울","계","2021.07",458514
"서울","계","2021.08",454447
